genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
21st century classical,0.9793333333333330,0.1628833333333330,160297.66666666700,0.0713166666666666,0.60683367,0.3616,-31.514333333333300,0.0405666666666666,75.3365,0.1037833333333330,27.83333333333330,6
432hz,0.49478,0.2993333333333330,1048887.333333330,0.4506783333333330,0.4777616666666670,0.131,-16.854,0.0768166666666666,120.28566666666700,0.22175,52.5,5
8-bit,0.762,0.7120000000000000,115177.0,0.818,0.8760000000000000,0.126,-9.18,0.047,133.444,0.975,48.0,7
a cappella,0.676557304985755,0.5389612464387460,190628.5408867520,0.3164335701566950,0.0030034414404202,0.1722541371082620,-12.479387421652400,0.0828514398148148,112.1103620014250,0.4482486545584050,45.82007122507120,7
abstract,0.45921,0.5161666666666670,343196.5,0.4424166666666670,0.8496666666666670,0.1180666666666670,-15.472083333333300,0.0465166666666666,127.88575000000000,0.307325,43.5,1
abstract beats,0.3421466666666670,0.623,229936.2,0.5278000000000000,0.3336026120000000,0.0996533333333333,-7.918000000000000,0.1163733333333330,112.4138,0.4935066666666670,58.93333333333330,10
abstract hip hop,0.2438540633608820,0.6945709366391180,231849.2341597800,0.6462346418732780,0.0242312629201102,0.1685429201101930,-7.349327823691460,0.2142576997245180,108.2449865013770,0.5713909090909090,39.79070247933880,2
accordeon,0.3230000000000000,0.588,164000.0,0.392,0.441,0.0794,-14.899,0.0727,109.131,0.7090000000000000,39.0,2
accordion,0.446125,0.6248125,167061.5625,0.3734375,0.19373839375,0.1603,-14.4870625,0.0785375,112.8724375,0.6586875000000000,21.9375,2
acid house,0.0679505384615384,0.6774,297188.05384615400,0.7244030769230770,0.3858910307692310,0.2334884615384620,-9.381200000000000,0.0558553846153846,126.49209230769200,0.5676769230769230,46.63846153846150,7
acid rock,0.2569145079725170,0.4472389930828900,259203.9143310270,0.5806492948018790,0.1509256773784010,0.2304514628310580,-11.43307330938880,0.0675998527823348,125.65952227133600,0.5344474777454800,32.67595532906290,2
acid trance,0.00683,0.6630000000000000,221160.0,0.925,0.703,0.185,-6.775,0.0449,132.687,0.843,62.0,9
acousmatic,0.9170191062801930,0.4204582850241550,185040.2595531400,0.2385243417874400,0.6162484134359900,0.2610061823671500,-20.96456474637680,0.0806177391304347,104.07463265700500,0.3244473852657010,9.342524154589370,5
acoustic blues,0.761723539455837,0.6069147720232650,204321.25087923200,0.3606592945953500,0.0989181361361423,0.1830982135528710,-12.55490505937250,0.0688153642290222,113.28452122830300,0.633785722320662,23.74606007693050,7
acoustic pop,0.4902350260381990,0.5351083171521530,235379.78355519100,0.4764399220103100,0.0333382801090247,0.1577504987283950,-9.297247893173370,0.0417706648143185,117.88741975150800,0.3794153530026810,53.11550474564840,7
acoustic punk,0.4049000220385680,0.5391115702479340,192332.11845730000,0.6158241505968780,0.0619399513039485,0.2094806244260790,-8.010774104683200,0.0635705234159779,122.30848852157900,0.7305188246097340,40.37649219467400,9
acoustic rock,0.6132007936507940,0.5243968253968250,195036.0,0.4160026455026460,0.3214749217460320,0.1405183862433860,-10.54062037037040,0.0346810846560846,122.6556626984130,0.3802986772486770,51.10978835978840,7
action rock,0.229,0.412,198400.0,0.938,0.000259,0.106,-0.253,0.182,97.489,0.32,47.0,4
adoracion,0.4328571428571430,0.5047142857142860,302906.0714285710,0.5207500000000000,0.0,0.3159857142857140,-8.010071428571430,0.0382035714285714,130.7106785714290,0.3115714285714290,46.39285714285710,9
adult standards,0.6556483763400990,0.4963276348996670,197331.50159436100,0.3820535821129450,0.1181935743093190,0.1967767436932640,-12.221776284594000,0.0531578180376793,113.38117658884300,0.4993761805789760,31.63490210889540,0
adventista,0.7841433333333330,0.5315,202876.65,0.3193833333333330,7.45033333333334E-06,0.14129,-9.338766666666670,0.0289866666666666,113.38845,0.5145166666666670,27.266666666666700,6
afghan pop,0.4106285714285710,0.6517142857142860,326503.9285714290,0.6515714285714290,0.0009111632142857,0.0874607142857143,-9.152178571428570,0.0844142857142857,113.59471428571400,0.7841071428571430,39.32142857142860,7
afghan traditional,0.958,0.4403333333333330,278581.33333333300,0.3236666666666670,0.4007066666666670,0.1776666666666670,-14.49766666666670,0.1460333333333330,94.06966666666670,0.7106666666666670,6.333333333333330,1
african percussion,0.327,0.6003636363636360,289556.2727272730,0.7897272727272730,0.2573806909090910,0.1278727272727270,-6.729636363636360,0.0797090909090909,130.1315454545450,0.4457272727272730,15.454545454545500,0
african reggae,0.2458,0.753,267673.375,0.662125,0.0035346243749999,0.111225,-7.446875000000000,0.05889375,116.5645,0.7710000000000000,45.8125,7
african rock,0.1398565041666670,0.6688958333333340,236075.3125,0.6110625000000000,0.09379615,0.14969375,-9.36175,0.0726541666666666,115.7093125,0.6064583333333330,42.270833333333300,8
